"To Date","A Fecha"
"To Fixed Amount","A Monto Fijo"
"To Percentage","A Porcentaje"
"To Percentage of the original price","A Porcentaje del precio original"
"To Fixed Value","A Valor Fijo"
"Actions","Acciones"
"Active","Activo"
"Update the Product","Actualizar el Producto"
"Update prices using the following information","Actualizar precios usando la siguiente información"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Add New Rule","Agregar Regla Nueva"
"Apply","Aplicar"
"Apply to","Aplicar a"
"Apply the rule to cart items matching the following conditions","Aplicar la regla a los artículos del carro que cumplan las siguientes condiciones"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar la regla sólo a los artículos del carrito que cumplan las siguientes condiciones (dejar en blanco para todos los artículos)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar la regla sólo si las siguientes condiciones se cumplen (dejar en blanco para todos los productos)"
"Cart Attribute","Atributo de Carro"
"This rule no longer exists","Ésta regla ya no existe"
"Quantity in cart","Cantidad en carrito"
"Total Items Quantity","Cantidad Total de Artículos"
"Catalog","Catálogo"
"Coupon code","Código de cupón"
"Coupon Code","Código de Cupón"
"Shipping Postcode","Código Postal de Envío"
"Customer registered: %s","Cliente registrado: %s"
"Product attribute combination","Combinación de atributos de producto"
"Buy X get Y free (discount amount is Y)","Compre X y obtenga Y gratis (el monto de descuento es Y)"
"Conditions","Condiciones"
"Conditions combination","Condiciones de combinación"
"Description","Descripción"
"Description: %s","Descripción: %s"
"Stop further rules processing","Detener reglas posteriores de proceso"
"Edit Rule","Editar Regla"
"Edit Rule '%s'","Editar Regla '%s'"
"Customer is new buyer: %s","El cliente es nuevo comprador: %s"
"Delete Rule","Eliminar Regla"
"Free shipping","Envío Gratuito"
"Shipping State/Province","Estado/Provincia de Envío"
"Status","Estatus"
"Expire at: %s","Expira en: %s"
"From Date","Fecha De"
"Date Start","Fecha Inicio"
"Date Expire","Fecha que Expira"
"Customer Groups","Grupos de Clientes"
"Save Rule","Guardar Regla"
"ID","ID"
"Inactive","Inactivo"
"Rule Information","Información de Regla"
"General Information","Información General"
"Start at: %s","Inicia en: %s"
"The page you are trying to save no longer exists","La página que intenta guardar ya no existe"
"Maximum Qty Discount is Applied to","Máximo Descuento en Cantidad se Aplica a"
"Shipping Method","Método de Envío"
"Payment Method","Método de Pago"
"Discount amount","Monto de descuento"
"Fixed amount discount","Monto fijo de descuento"
"Fixed amount discount for whole cart","Monto fijo de descuento para todo el carro"
"No","No"
"Unable to find a page to delete","No es posible encontrar la página a eliminar"
"NOT LOGGED IN","NO HA INICIADO SESIÓN"
"Rule Name","Nombre de Regla"
"Name: %s","Nombre: %s"
"New Rule","Nueva Rebla"
"Shipping Country","País de Envío"
"For shipment with matching items","Para envíos con artículos que coincidan"
"Discount Qty Step (Buy X)","Paso de Descuento por Cantidad (Compra X)"
"Public In RSS Feed","Público en Fuente RSS"
"Total Weight","Peso Total"
"By Fixed Amount","Por Monto Fijo"
"By Percentage","Por Porcentaje"
"By Percentage of the original price","Por Porcentaje del precio original"
"By Fixed value","Por Valor fijo"
"Percent of product price discount","Porcentaje de descuento al precio"
"Price in cart","Precio en carrito"
"Special price","Precio especial"
"Priority","Prioridad"
"Promotions","Promociones"
"Shipping Region","Región de Envío"
"Shopping Cart Price Rule","Regla de Precio de Carrito de Compra"
"Rule was successfully deleted","Regla eliminada satisfactoriamente"
"Rule was successfully saved","Regla guardada satisfactoriamente"
"Shopping Cart Price Rules","Reglas de Precio de Carrito de Compra"
"Row total in cart","Renglón Total en carrito"
"Yes","Sí"
"For matching items only","Sólo para artículos que coincidan"
"Products subselection","Subselección de Productos"
"Subtotal","Subtotal"
"Uses per customer","Usos por cliente"
"Uses per coupon","Usos por cupón"
