"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Manage Ratings","Administrar Calificaciones"
"Add New Rating","Agregar Nueva Calificación"
"Delete Rating","Borrar Calificación"
"Rating with the same title","Calificación con el mismo título"
"Rating isn't Available","Calificación no Disponible"
"Edit Rating","Editar Calificación"
"Option Label","Etiqueta Opcional"
"Save Rating","Guardar Calificación"
"ID","ID"
"Rating Information","Información de Calificación"
"Rating Name","Nombre de la Calificación"
"New Rating","Nueva Calificación"
"Assigned Options","Opciones Asignadas"
"Rating Options","Opciones de Calificación"
"Please select one of each ratings above","Por favor selecciona una de cada calificación de arriba"
"Be the first to review this product","Se el primero en calificar este producto"
"If you do not specify a rating title for a store, the default value will be used.","Si no especifica un título para la calificación en cada tienda, se usara el valor predeterminado."
"Option Title","Título Opcional"
"Option Title:","Título Opcional:"
"Rating Title","Titulo de la Calificación"
"Default Value","Valor Predeterminado"
"Rating Visibility","Visibilidad de la Calificación"
"Visible In","Visible En"
